METHOD,TIME
Shading mask EIGEN RNG,9.14456
Shading mask EIGEN CAST RNG,9.25443
Shading mask EIGEN VECTORIZED RNG,9.373
Shading mask STD RNG,9.45803
Shading mask PCG RNG,9.65758
Shading mask XOSHIRO RNG,9.69863
Shading mask MIX RNG,9.75614
Shading mask EIGEN RNG,9.49317
Shading mask EIGEN CAST RNG,9.5648
Shading mask EIGEN VECTORIZED RNG,9.54735
Shading mask STD RNG,9.13611
Shading mask PCG RNG,8.9799
Shading mask XOSHIRO RNG,9.44928
Shading mask MIX RNG,9.00752
Shading mask EIGEN RNG,8.87113
Shading mask EIGEN CAST RNG,9.45525
Shading mask EIGEN VECTORIZED RNG,9.50289
Shading mask STD RNG,9.14
Shading mask PCG RNG,9.11886
Shading mask XOSHIRO RNG,9.19613
Shading mask MIX RNG,9.31748
Shading mask EIGEN RNG,8.95339
Shading mask EIGEN CAST RNG,9.14998
Shading mask EIGEN VECTORIZED RNG,9.03592
Shading mask STD RNG,9.27308
Shading mask PCG RNG,9.08191
Shading mask XOSHIRO RNG,9.42421
Shading mask MIX RNG,9.29016
Shading mask EIGEN RNG,9.40404
Shading mask EIGEN CAST RNG,9.38062
Shading mask EIGEN VECTORIZED RNG,9.35918
Shading mask STD RNG,9.29
Shading mask PCG RNG,9.11774
Shading mask XOSHIRO RNG,9.14353
Shading mask MIX RNG,9.29796
Shading mask EIGEN RNG,9.06348
Shading mask EIGEN CAST RNG,9.22815
Shading mask EIGEN VECTORIZED RNG,9.14033
Shading mask STD RNG,9.11474
Shading mask PCG RNG,9.29469
Shading mask XOSHIRO RNG,9.18903
Shading mask MIX RNG,9.31457
Shading mask EIGEN RNG,9.47867
Shading mask EIGEN CAST RNG,9.91986
Shading mask EIGEN VECTORIZED RNG,9.54047
Shading mask STD RNG,9.36603
Shading mask PCG RNG,9.61157
Shading mask XOSHIRO RNG,9.39289
Shading mask MIX RNG,9.31157
Shading mask EIGEN RNG,9.16512
Shading mask EIGEN CAST RNG,9.47086
Shading mask EIGEN VECTORIZED RNG,9.70153
Shading mask STD RNG,10.0652
Shading mask PCG RNG,9.69544
Shading mask XOSHIRO RNG,10.0146
Shading mask MIX RNG,9.9752
Shading mask EIGEN RNG,9.8316
Shading mask EIGEN CAST RNG,9.913
Shading mask EIGEN VECTORIZED RNG,9.9169
Shading mask STD RNG,9.82326
Shading mask PCG RNG,9.70235
Shading mask XOSHIRO RNG,9.79984
Shading mask MIX RNG,10.0171
Shading mask EIGEN RNG,9.84414
Shading mask EIGEN CAST RNG,9.97487
Shading mask EIGEN VECTORIZED RNG,10.1271
Shading mask STD RNG,9.90779
Shading mask PCG RNG,9.73475
Shading mask XOSHIRO RNG,9.93426
Shading mask MIX RNG,9.86355
Shading mask EIGEN RNG,9.99761
Shading mask EIGEN CAST RNG,10.162
Shading mask EIGEN VECTORIZED RNG,9.91911
Shading mask STD RNG,9.77986
Shading mask PCG RNG,9.54944
Shading mask XOSHIRO RNG,10.0544
Shading mask MIX RNG,9.95813
Shading mask EIGEN RNG,10.2159
Shading mask EIGEN CAST RNG,10.072
Shading mask EIGEN VECTORIZED RNG,9.78524
Shading mask STD RNG,9.84185
Shading mask PCG RNG,9.79539
Shading mask XOSHIRO RNG,9.96739
Shading mask MIX RNG,9.91237
Shading mask EIGEN RNG,10.045
Shading mask EIGEN CAST RNG,9.99359
Shading mask EIGEN VECTORIZED RNG,10.5842
Shading mask STD RNG,9.57087
Shading mask PCG RNG,9.95382
Shading mask XOSHIRO RNG,9.78046
Shading mask MIX RNG,9.89293
Shading mask EIGEN RNG,10.0319
Shading mask EIGEN CAST RNG,10.1875
Shading mask EIGEN VECTORIZED RNG,9.63387
Shading mask STD RNG,9.72922
Shading mask PCG RNG,9.78619
Shading mask XOSHIRO RNG,9.90234
Shading mask MIX RNG,9.92348
Shading mask EIGEN RNG,9.76999
Shading mask EIGEN CAST RNG,9.90811
Shading mask EIGEN VECTORIZED RNG,9.89366
Shading mask STD RNG,9.75717
Shading mask PCG RNG,9.79355
Shading mask XOSHIRO RNG,9.77645
Shading mask MIX RNG,9.97372
Shading mask EIGEN RNG,9.91113
Shading mask EIGEN CAST RNG,9.93431
Shading mask EIGEN VECTORIZED RNG,10.0181
Shading mask STD RNG,9.73549
Shading mask PCG RNG,9.8321
Shading mask XOSHIRO RNG,10.1624
Shading mask MIX RNG,9.79864
Shading mask EIGEN RNG,9.91949
Shading mask EIGEN CAST RNG,9.8852
Shading mask EIGEN VECTORIZED RNG,9.85953
Shading mask STD RNG,10.2128
Shading mask PCG RNG,9.59265
Shading mask XOSHIRO RNG,9.78798
Shading mask MIX RNG,10.0578
Shading mask EIGEN RNG,10.1339
Shading mask EIGEN CAST RNG,10.0961
